[2023-11-23 15:58:14,944] MFFTP: success to link "ftp.ifremer.fr"
[2023-11-23 16:02:18,479] MFFTP: success to download "D2901620_058.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:20,913] MFFTP: success to download "D2901620_059.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:23,357] MFFTP: success to download "D2901620_060.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:25,832] MFFTP: success to download "D2901620_061.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:28,270] MFFTP: success to download "D2901620_062.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:30,693] MFFTP: success to download "D2901620_063.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:33,147] MFFTP: success to download "D2901620_064.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:35,598] MFFTP: success to download "D2901620_065.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:38,062] MFFTP: success to download "D2901620_066.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:40,499] MFFTP: success to download "D2901620_067.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:42,938] MFFTP: success to download "D2901620_068.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:45,372] MFFTP: success to download "D2901620_069.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:47,797] MFFTP: success to download "D2901620_070.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:50,241] MFFTP: success to download "D2901620_071.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:52,695] MFFTP: success to download "D2901620_072.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:55,119] MFFTP: success to download "D2901620_073.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:57,592] MFFTP: success to download "D2901620_074.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:00,042] MFFTP: success to download "D2901620_075.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:02,492] MFFTP: success to download "D2901620_076.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:04,982] MFFTP: success to download "D2901620_077.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:07,393] MFFTP: success to download "D2901620_078.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:09,920] MFFTP: success to download "D2901620_079.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:12,352] MFFTP: success to download "D2901620_080.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:15,293] MFFTP: success to download "D2901620_081.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:17,721] MFFTP: success to download "D2901620_082.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:20,162] MFFTP: success to download "D2901620_083.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:22,594] MFFTP: success to download "D2901620_084.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:25,008] MFFTP: success to download "D2901620_085.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:27,681] MFFTP: success to download "D2901620_086.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:30,117] MFFTP: success to download "D2901620_087.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:32,583] MFFTP: success to download "D2901620_088.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:35,001] MFFTP: success to download "D2901620_089.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:37,417] MFFTP: success to download "D2901620_090.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:39,852] MFFTP: success to download "D2901620_091.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:42,273] MFFTP: success to download "D2901620_092.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:44,696] MFFTP: success to download "D2901620_093.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:47,149] MFFTP: success to download "D2901620_094.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:49,585] MFFTP: success to download "D2901620_095.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:52,016] MFFTP: success to download "D2901620_096.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:54,431] MFFTP: success to download "D2901620_097.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:56,891] MFFTP: success to download "D2901620_098.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:03:59,315] MFFTP: success to download "D2901620_099.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:01,757] MFFTP: success to download "D2901620_100.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:07,991] MFFTP: success to download "D2901620_101.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:10,426] MFFTP: success to download "D2901620_102.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:12,835] MFFTP: success to download "D2901620_103.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:15,262] MFFTP: success to download "D2901620_104.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:17,695] MFFTP: success to download "D2901620_105.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:20,140] MFFTP: success to download "D2901620_106.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:22,564] MFFTP: success to download "D2901620_107.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:25,025] MFFTP: success to download "D2901620_108.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:27,454] MFFTP: success to download "D2901620_109.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:29,879] MFFTP: success to download "D2901620_110.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:32,412] MFFTP: success to download "D2901620_111.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:34,838] MFFTP: success to download "D2901620_112.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:37,278] MFFTP: success to download "D2901620_113.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:39,706] MFFTP: success to download "D2901620_114.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:42,169] MFFTP: success to download "D2901620_115.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
